Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Training,Day Treatment,Senior/Geriatric Services,Day Habilitation,Work Shop,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Care at Home Waiver Services,Developmental Centers And Special Population Services,Location 1
METRO NEW YORK DDSO,SPECIAL CITIZENS FUTURES UNLIMITED  INC.,1775 GRAND CONCOURSE,4TH FLOOR,BRONX,NY,10453,212-643-2663,BRONX,http://www.specialcitizens.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"1775 GRAND CONCOURSE
BRONX, NY 10453
(40.846248, -73.909908)"
METRO NEW YORK DDSO,UNIQUE LIFE  INC.,2197 NEW ENGLAND THRUWAY,,BRONX,NY,10475,347-449-7890,BRONX,http://www.uniquelifeinc.org,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,
BROOKLYN DDSO,BROOKLYN COMMUNITY SERVICES (DBA),151 LAWRENCE STREET,,BROOKLYN,NY,11201,718-310-5600,KINGS,http://www.wearebcs.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"151 LAWRENCE STREET
BROOKLYN, NY 11201
(40.691415, -73.986288)"
BROOKLYN DDSO,CATHOLIC CHARITIES NEIGHBORHOOD SVCS INC,191 JORALEMON STREET,,BROOKLYN,NY,11201,718-722-6000,KINGS,http://www.ccbq.org,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,"191 JORALEMON STREET
BROOKLYN, NY 11201
(40.692651, -73.991842)"
BROOKLYN DDSO,ELMY'S SPECIAL SERVICES  INC.,163 VANBUREN STREET,,BROOKLYN,NY,11221,718-789-7539,KINGS,http://www.elmysspecialservices.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"163 VANBUREN STREET
BROOKLYN, NY 11221
(40.69046, -73.939735)"
BROOKLYN DDSO,EVELYN DOUGLIN CTR SERV. PEOPLE IN NEED,241 37TH STREET,SUITE 604,BROOKLYN,NY,11232,718-965-1998,KINGS,,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,"241 37TH STREET
BROOKLYN, NY 11232
(40.655872, -74.008554)"
BROOKLYN DDSO,FEDERATION OF MULTICULTURAL PROGRAM  INC,2 VAN SINDEREN AVENUE,2ND FLOOR,BROOKLYN,NY,11207,718-345-9500,KINGS,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"2 VAN SINDEREN AVENUE
BROOKLYN, NY 11207
(40.678869, -73.90348)"
BROOKLYN DDSO,GUILD FOR THE EXCEPTIONAL CHILDREN  INC.,260 68TH STREET,,BROOKLYN,NY,11220,718-833-6633,KINGS,http://www.gecbklyn.org,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,"260 68TH STREET
BROOKLYN, NY 11220
(40.636923, -74.026505)"
BROOKLYN DDSO,HAMASPIK OF KINGS COUNTY  INC.,4102 14TH AVENUE,,BROOKLYN,NY,11219,718-387-8400,KINGS,http://www.hamaspikkings.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,"4102 14TH AVENUE
BROOKLYN, NY 11219
(40.638074, -73.985368)"
BROOKLYN DDSO,HASC CENTER  INC.,5601 FIRST AVENUE,,BROOKLYN,NY,11220,718-745-7575,KINGS,http://www.hasc.net/,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"5601 FIRST AVENUE
BROOKLYN, NY 11220
(40.646842, -74.022845)"
BROOKLYN DDSO,HEARTSHARE HUMAN SERVICES OF NEW YORK,12 METRO TECH CENTER,29TH FLR,BROOKLYN,NY,11201,718-422-4200,KINGS,http://www.heartshare.org,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"12 METRO TECH CENTER
BROOKLYN, NY 11201
(40.69371, -73.987102)"
BROOKLYN DDSO,HEBREW ACADEMY FOR SPECIAL CHILDREN INC,1318 60TH STREET,,BROOKLYN,NY,11219,718-686-5900,KINGS,http://www.hasc.net,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,"1318 60TH STREET
BROOKLYN, NY 11219
(40.628532, -73.998028)"
BROOKLYN DDSO,HUMAN CARE SVCS FOR FAMILIES & CHILDREN,1042 38TH STREET,,BROOKLYN,NY,11219,718-854-2747,KINGS,http://www.humancareservices.org,N,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,"1042 38TH STREET
BROOKLYN, NY 11219
(40.644417, -73.991071)"
BROOKLYN DDSO,LONG LIFE INFO & REFERRAL NETWORK,1958 FULTON STREET,3RD FLOOR,BROOKLYN,NY,11233,718-778-0009,KINGS,,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"1958 FULTON STREET
BROOKLYN, NY 11233
(40.678776, -73.919919)"
BROOKLYN DDSO,PROGRAM DEVELOPMENT SERVICES,6916 NEW UTRECHT AVENUE,,BROOKLYN,NY,11228,718-256-2212,KINGS,http://www.4pds.org,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,"6916 NEW UTRECHT AVENUE
BROOKLYN, NY 11228
(40.620071, -73.99872)"
BROOKLYN DDSO,QUALITY SERVICES BEYOND COMPLIANCE,1012 GATES AVENUE,2ND FLOOR,BROOKLYN,NY,11221,516-280-9361,KINGS,,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"1012 GATES AVENUE
BROOKLYN, NY 11221
(40.689393, -73.923036)"
BROOKLYN DDSO,WOMEN'S LEAGUE COM. RESIDENCES,1556 38TH STREET,,BROOKLYN,NY,11218,718-853-0900,KINGS,http://www.womensleague.org,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"1556 38TH STREET
BROOKLYN, NY 11218
(40.637688, -73.979957)"
LONG ISLAND DDSO,NASSAU CO. NYSARC  INC.,189 WHEATLEY ROAD,,BROOKVILLE,NY,11545,516-626-1000,NASSAU,http://www.ahrc.org/,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"189 WHEATLEY ROAD
BROOKVILLE, NY 11545
(40.807983, -73.579852)"
WESTERN NEW YORK DDSO,COMMUNITY SERVICES FOR EVERY1  INC.,180 OAK STREET,,BUFFALO,NY,14203,716-883-8888,ERIE,http://www.csevery1.com,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,"180 OAK STREET
BUFFALO, NY 14203
(42.886543, -78.870299)"
WESTERN NEW YORK DDSO,WNY INDEPENDENT LIVING  INC.,3108 MAIN STREET,,BUFFALO,NY,14214,716-836-0822,ERIE,http://www.wnyil.org,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,"3108 MAIN STREET
BUFFALO, NY 14214
(42.949351, -78.827952)"
SUNMOUNT DDSO,UCPA OF THE NORTH COUNTRY,4 COMMERCE LANE,,CANTON,NY,13617,315-379-9667,ST. LAWRENC,http://www.cpnorthcountry.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"4 COMMERCE LANE
CANTON, NY 13617
(44.589292, -75.177921)"
HUDSON VALLEY DDSO,ABILITY BEYOND DISABILITY,480 BEDFORD ROAD,,CHAPPAQUA,NY,10514,914-242-8720,WESTCHESTER,http://www.abilitybeyonddisability.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"480 BEDFORD ROAD
CHAPPAQUA, NY 10514
(41.177688, -73.750676)"
HUDSON VALLEY DDSO,YEDEI CHESED  INC.,48 SCOTLAND HILL ROAD,,CHESTNUT RIDGE,NY,10977,845-425-0887,ROCKLAND,http://www.yedeichesed.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"48 SCOTLAND HILL ROAD
CHESTNUT RIDGE, NY 10977
(41.098178, -74.042075)"
BERNARD M. FINESON DDSO,AABR  INC.,15-08 COLLEGE POINT BOULEVARD,P.O. BOX 560247,COLLEGE POINT,NY,11356,718-321-3800,QUEENS,http://www.aabr.org,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"15-08 COLLEGE POINT BOULEVARD
COLLEGE POINT, NY 11356
(40.783975, -73.845813)"
LONG ISLAND DDSO,0227 - LONG ISLAND DDSO,45 MALL DRIVE,,COMMACK,NY,11725,516-493-1700,SUFFOLK,,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,"45 MALL DRIVE
COMMACK, NY 11725
(40.814758, -73.272492)"
HUDSON VALLEY DDSO,ROCKLAND CO. NYSARC  INC.,25 HEMLOCK DRIVE,,CONGERS,NY,10920,845-267-2500,ROCKLAND,http://www.arcofrockland.org,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,"25 HEMLOCK DRIVE
CONGERS, NY 10920
(41.164047, -73.934731)"
CENTRAL NEW YORK DDSO,J. M. MURRAY CENTER  INC.,823 NYS RT 13,,CORTLAND,NY,13045,607-756-9913,CORTLAND,http://www.jmmurray.com,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,
CENTRAL NEW YORK DDSO,LAUNCH,212 EAST MANLIUS STREET,,EAST SYRACUSE,NY,13057,315-432-0665,ONONDAGA,http://www.launchcny.org,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,"212 EAST MANLIUS STREET
EAST SYRACUSE, NY 13057
(43.063863, -76.068261)"
WESTERN NEW YORK DDSO,SASI,960 WEST MAPLE COURT,,ELMA,NY,14059,716-805-1555,ERIE,http://www.sasinc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"960 WEST MAPLE COURT
ELMA, NY 14059
(42.794308, -78.624603)"
FINGER LAKES DDSO,CHEMUNG CO. NYSARC  INC.,711 SULLIVAN STREET,,ELMIRA,NY,14901,607-734-6151,CHEMUNG,http://www.chemungarc.org,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"711 SULLIVAN STREET
ELMIRA, NY 14901
(42.100971, -76.797753)"
LONG ISLAND DDSO,CENTER FOR FAMILY SUPPORT  INC. (THE),110 JERICHO TURNPIKE,SUITE 103,FLORAL PARK,NY,11001,516-292-3000,NASSAU,http://www.cfsny.org,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,"110 JERICHO TURNPIKE
FLORAL PARK, NY 11001
(40.727853, -73.707291)"
BERNARD M. FINESON DDSO,WELLLIFE NETWORK  INC.,142-02 20TH AVENUE,3RD FLOOR,FLUSHING,NY,11351,718-445-4700,QUEENS,,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,"142-02 20TH AVENUE
FLUSHING, NY 11351
(40.781664, -73.828216)"
CENTRAL NEW YORK DDSO,OSWEGO COUNTY NYSARC  INC,7 MORRILL PLACE,,FULTON,NY,13069,315-598-3108,OSWEGO,http://www.nysarc.org,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"7 MORRILL PLACE
FULTON, NY 13069
(43.320347, -76.430125)"
CENTRAL NEW YORK DDSO,OSWEGO COUNTY OPPORTUNITIES  INC.,239 ONEIDA STREET,,FULTON,NY,13069,315-598-4710,OSWEGO,http://www.oco.org/,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"239 ONEIDA STREET
FULTON, NY 13069
(43.325299, -76.415095)"
LONG ISLAND DDSO,LIFE'S W.O.R.C.  INC.,1501 FRANKLIN AVENUE,PO BOX 8165,GARDEN CITY,NY,11530,516-741-9000,NASSAU,http://www.lifesworc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"1501 FRANKLIN AVENUE
GARDEN CITY, NY 11530
(40.737306, -73.638604)"
WESTERN NEW YORK DDSO,ASPIRE OF WESTERN NEW YORK,2356 NORTH FOREST ROAD,,GETZVILLE,NY,14068,716-505-5500,ERIE,http://www.aspirewny.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"2356 NORTH FOREST ROAD
GETZVILLE, NY 14068
(43.009087, -78.775811)"
LONG ISLAND DDSO,SCO FAMILY OF SERVICES,1 ALEXANDER PLACE,,GLEN COVE,NY,11542,516-759-1844,NASSAU,http://www.sco.org,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"1 ALEXANDER PLACE
GLEN COVE, NY 11542
(40.857623, -73.61855)"
LONG ISLAND DDSO,CITIZENS OPTIONS UNLIMITED  INC.,189 WHEATLEY ROAD,,GLEN HEAD,NY,11545,516-626-1000,NASSAU,https://www.ahrcfoundation.org,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,"189 WHEATLEY ROAD
GLEN HEAD, NY 11545
(40.807983, -73.579852)"
CAPITAL DISTRICT DDSO,COMMUNITY WORK AND INDEPENDENCE INC,37 EVERTS AVENUE,PO BOX 303,GLENS FALLS,NY,12801,518-793-4700,WARREN,http://www.cwinc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"37 EVERTS AVENUE
GLENS FALLS, NY 12801
(43.326141, -73.646456)"
CAPITAL DISTRICT DDSO,FULTON CO. NYSARC  INC.,127 EAST STATE STREET,,GLOVERSVILLE,NY,12078,518-773-7931,FULTON,http://www.lexingtoncenter.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"127 EAST STATE STREET
GLOVERSVILLE, NY 12078
(43.068414, -74.326916)"
HUDSON VALLEY DDSO,ORANGE CO UCPA (DBA INSPIRE),2 FLETCHER STREET,,GOSHEN,NY,10924,845-294-7300,ORANGE,http://www.inspirecp.org,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"2 FLETCHER STREET
GOSHEN, NY 10924
(41.404006, -74.335596)"
CAPITAL DISTRICT DDSO,BATTENKILL COMMUNITY SERVICES  INC.,2549 STATE ROUTE 40,,GREENWICH,NY,12834,518-692-2819,WASHINGTON,http://www.battenkill.org,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"2549 STATE ROUTE 40
GREENWICH, NY 12834
(43.106415, -73.517901)"
LONG ISLAND DDSO,HEAD INJURY ASSOCIATION  INC.,300 KENNEDY DRIVE,,HAUPPAUGE,NY,11788,631-543-2245,SUFFOLK,http://www.headinjuryassoc.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"300 KENNEDY DRIVE
HAUPPAUGE, NY 11788
(40.81096, -73.244963)"
LONG ISLAND DDSO,UCPA OF GREATER SUFFOLK  INC,250 MARCUS BLVD,,HAUPPAUGE,NY,11788,631-232-0011,SUFFOLK,http://www.ucp-suffolk.org,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,"250 MARCUS BLVD
HAUPPAUGE, NY 11788
(40.818355, -73.24772)"
HUDSON VALLEY DDSO,WESTCHESTER CO. NYSARC  INC.,265 SAW MILL RIVER ROAD,,HAWTHORNE,NY,10532,914-428-8330,WESTCHESTER,http://www.westchesterarc.org,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,"265 SAW MILL RIVER ROAD
HAWTHORNE, NY 10532
(41.102485, -73.808)"
HUDSON VALLEY DDSO,ABBOTT HOUSE,100 NORTH BROADWAY,,IRVINGTON,NY,10533,914-591-7300,WESTCHESTER,http://www.abbotthouse.net,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"100 NORTH BROADWAY
IRVINGTON, NY 10533
(41.045682, -73.862208)"
WESTERN NEW YORK DDSO,THE RESOURCE CENTER,200 DUNHAM AVENUE,,JAMESTOWN,NY,14701,716-483-2344,CHAUTAUQUA,http://resourcecenter.org/,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"200 DUNHAM AVENUE
JAMESTOWN, NY 14701
(42.102135, -79.283487)"
BROOME DDSO,HANDICAPPED CHILDREN'S ASSN.,18 BROAD STREET,,JOHNSON CITY,NY,13790,607-798-7117,BROOME,http://www.hcaserves.com,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"18 BROAD STREET
JOHNSON CITY, NY 13790
(42.114856, -75.955987)"
WESTERN NEW YORK DDSO,LEARNING DIS. ASSN OF WNY,2555 ELMWOOD AVENUE,,KENMORE,NY,14217,716-874-7200,ERIE,http://www.ldaofwny.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,"2555 ELMWOOD AVENUE
KENMORE, NY 14217
(42.966896, -78.87873)"
TACONIC DDSO,RESOURCE CTR F/ACCESSIBLE LIVING  INC.,727 ULSTER AVENUE,,KINGSTON,NY,12401,845-331-0541,ULSTER,http://www.rcal.org,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,"727 ULSTER AVENUE
KINGSTON, NY 12401
(41.949793, -73.994399)"
TACONIC DDSO,THE ARC MID-HUDSON,471 ALBANY AVENUE,,KINGSTON,NY,12401,845-331-4300,ULSTER,http://www.ulster-greenearc.org,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"471 ALBANY AVENUE
KINGSTON, NY 12401
(41.941892, -73.999345)"
WESTERN NEW YORK DDSO,OLV HUMAN SERVICES (DBA),790 RIDGE ROAD,,LACKAWANNA,NY,14218,716-828-9500,ERIE,http://www.bakervictoryservices.org,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,"790 RIDGE ROAD
LACKAWANNA, NY 14218
(42.826184, -78.820737)"
TACONIC DDSO,UCP OF ULSTER CO. INC.,250 TUYTENBRIDGE ROAD,,LAKE KATRINE,NY,12449,845-336-7235,ULSTER,http://www.cpulster.org,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"250 TUYTENBRIDGE ROAD
LAKE KATRINE, NY 12449
(41.985431, -73.986453)"
TACONIC DDSO,COARC,630 ROUTE 217,P.O. BOX 2,MELLENVILLE,NY,12544,518-672-4451,COLUMBIA,http://www.coarc.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"630 ROUTE 217
MELLENVILLE, NY 12544
(42.251384, -73.670515)"
HUDSON VALLEY DDSO,ACCESS: SUPPORTS FOR LIVING  INC.,15 FORTUNE ROAD WEST,,MIDDLETOWN,NY,10941,845-692-4454,ORANGE,http://www.accesssupports.org,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"15 FORTUNE ROAD WEST
MIDDLETOWN, NY 10941
(41.474126, -74.37224)"
HUDSON VALLEY DDSO,CRYSTAL RUN VILLAGE  INC.,420 SCHUTT ROAD EXTENSION,,MIDDLETOWN,NY,10940,845-692-4444,ORANGE,http://www.crvi.org/srvccoordination.asp,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"420 SCHUTT ROAD EXTENSION
MIDDLETOWN, NY 10940
(41.447248, -74.386417)"
HUDSON VALLEY DDSO,MENTAL HEALTH ASSOC. IN ORANGE CO.,73 COUNTY HIGHWAY 108,,MIDDLETOWN,NY,10940,845-342-2400,ORANGE,http://www.mhaorangeny.com,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,"73 COUNTY HIGHWAY 108
MIDDLETOWN, NY 10940
(41.42459, -74.433134)"
LONG ISLAND DDSO,MILL NECK SERVICES  INC.,FROST MILL ROAD,BOX 193,MILL NECK,NY,11765,516-922-3818,NASSAU,,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,
HUDSON VALLEY DDSO,CHEMLU DEVELOP DISABILITY CTR INC.,2 GARFIELD ROAD,SUITE 201,MONROE,NY,10950,845-774-4444,ORANGE,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"2 GARFIELD ROAD
MONROE, NY 10950
(41.339262, -74.169925)"
HUDSON VALLEY DDSO,HAMASPIK OF ORANGE CO  INC.,1  HAMASPIK WAY,3RD FLOOR,MONROE,NY,10950,845-774-8400,ORANGE,http://www.hamaspikorange.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"1  HAMASPIK WAY
MONROE, NY 10950
(41.335349, -74.160592)"
HUDSON VALLEY DDSO,RAYIM OF HUDSON VALLEY  INC.,2 VANBUREN DRIVE,,MONROE,NY,10950,845-782-7700,ORANGE,,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"2 VANBUREN DRIVE
MONROE, NY 10950
(41.339209, -74.170345)"
HUDSON VALLEY DDSO,HAMASPIK OF ROCKLAND COUNTY  INC,58 ROUTE 59,SUITE 1,MONSEY,NY,10952,845-356-8400,ROCKLAND,http://www.hamaspikrockland.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"58 ROUTE 59
MONSEY, NY 10952
(41.107773, -74.064687)"
