Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Hayes House,Albany,01/17/1973,90NR01676,-74.03064345132597,42.69920242216056,"(42.69920242216056, -74.03064345132597)"
Hedge Lawn (Jermain House),Albany,10/03/1985,90NR02773,-73.71507378917906,42.70609170897275,"(42.70609170897275, -73.71507378917906)"
Helderberg Reformed Dutch Church (demolished),Albany,11/10/1982,90NR01688,-73.96343172994023,42.70303890192546,"(42.70303890192546, -73.96343172994023)"
Henry-Remsen House,Albany,10/03/1985,90NR02774,-73.74822541135863,42.71562550924848,"(42.71562550924848, -73.74822541135863)"
"Hills, Ebenezer, Jr., Farmhouse",Albany,10/03/1985,90NR02775,-73.8021902090521,42.76204049273957,"(42.76204049273957, -73.8021902090521)"
"Hilton, Adam, House",Albany,11/10/1982,90NR01631,-74.03843164451499,42.6918035461165,"(42.6918035461165, -74.03843164451499)"
Hiram Griggs House,Albany,07/19/2010,09NR06052,-74.03524934016312,42.7016172989602,"(42.7016172989602, -74.03524934016312)"
"Holroyd, James, Residence",Albany,,03NR05183,-73.76261521756942,42.65594230045167,"(42.65594230045167, -73.76261521756942)"
Houck Farmhouse,Albany,11/10/1982,90NR01660,-73.94606200352287,42.69822775105055,"(42.69822775105055, -73.94606200352287)"
"Houghtaling, Abraham, House",Albany,02/20/1998,98NR01296,-73.79746946252105,42.47516963411526,"(42.47516963411526, -73.79746946252105)"
"Houghtaling, Teunis, House",Albany,07/28/2004,03NR05184,-73.97576151055833,42.56405431018592,"(42.56405431018592, -73.97576151055833)"
Hughson Mansion,Albany,10/04/1979,90NR02776,-73.75489661237388,42.69542841634,"(42.69542841634, -73.75489661237388)"
"Humphrey, Friend, House",Albany,10/03/1985,90NR02777,-73.76319026062383,42.69209235772983,"(42.69209235772983, -73.76319026062383)"
"Kemp, John Wolf, House",Albany,10/03/1985,90NR02778,-73.79862020260339,42.72578596716494,"(42.72578596716494, -73.79862020260339)"
"Kenwood Avenue, House at 698",Albany,02/17/2012,11NR06286,-73.86258299698252,42.62848428274152,"(42.62848428274152, -73.86258299698252)"
Knower House,Albany,11/10/1982,90NR01661,-74.01980709920646,42.70531578559216,"(42.70531578559216, -74.01980709920646)"
Knox District School #5,Albany,05/19/2005,04NR05391,-74.04497944755293,42.66037463700484,"(42.66037463700484, -74.04497944755293)"
Knox Street Historic District,Albany,03/05/2008,07NR05721,-73.77089166577659,42.65288440286896,"(42.65288440286896, -73.77089166577659)"
"Lackmann, J. Leonard, House",Albany,02/20/1998,90NR02867,-73.70567528050333,42.77115814103033,"(42.77115814103033, -73.70567528050333)"
Lafayette Park Historic District,Albany,11/15/1978,90NR02814,-73.75618080617483,42.65303441072689,"(42.65303441072689, -73.75618080617483)"
LaGrange Farmstead,Albany,12/07/2005,05NR05446,-73.8818277993503,42.65401745737689,"(42.65401745737689, -73.8818277993503)"
Lainhart Farm Complex and Dutch Barn,Albany,06/08/2001,01NR01786,-74.0316755437222,42.72340242660084,"(42.72340242660084, -74.0316755437222)"
"Lawton, George H., House",Albany,10/03/1985,90NR02781,-73.75619328018087,42.72453919774664,"(42.72453919774664, -73.75619328018087)"
Lil's Diner,Albany,11/06/2000,00NR01647,-73.744837558995,42.66086159036998,"(42.66086159036998, -73.744837558995)"
Lincoln Park,Albany,02/20/2018,16NR00124,-73.76640547026454,42.64605501024201,"(42.64605501024201, -73.76640547026454)"
Lock 18 of Enlarged Erie Canal,Albany,02/18/1971,90NR02827,-73.71175891864408,42.78465663949784,"(42.78465663949784, -73.71175891864408)"
Loudon Road Historic District,Albany,10/04/1979,90NR02782,-73.75414534321695,42.70082975138929,"(42.70082975138929, -73.75414534321695)"
Lustron Houses of Jermain Street Historic District,Albany,07/29/2009,08NR05904,-73.8011330285066,42.67927325840012,"(42.67927325840012, -73.8011330285066)"
Mansion Historic District,Albany,09/30/1982,89NR00010,-73.7579409633459,42.64533723295578,"(42.64533723295578, -73.7579409633459)"
Matton Shipyards,Albany,07/24/2009,08NR05868,-73.68048323030604,42.7790185701951,"(42.7790185701951, -73.68048323030604)"
McNiven Farm Complex,Albany,11/10/1982,90NR01682,-74.00220734388924,42.70552323392418,"(42.70552323392418, -74.00220734388924)"
"Menand, Louis, House",Albany,10/03/1985,90NR02837,-73.722612769047,42.70297605865726,"(42.70297605865726, -73.722612769047)"
Menand Park Historic District,Albany,10/03/1985,90NR02836,-73.72374014305046,42.69405214807281,"(42.69405214807281, -73.72374014305046)"
Menands Manor (Home for Aged Men),Albany,10/03/1985,90NR02838,-73.72546001078105,42.69301651628779,"(42.69301651628779, -73.72546001078105)"
"Mendelson, A., & Son Company Building",Albany,06/06/2003,02NR04995,-73.75407693560975,42.63752020287255,"(42.63752020287255, -73.75407693560975)"
"Merchant, Walter, House",Albany,03/06/2002,02NR01907,-73.76288519993986,42.65609739059409,"(42.65609739059409, -73.76288519993986)"
"Moore, D.D.T., Farmhouse",Albany,10/04/1979,90NR02783,-73.75372995683969,42.69257515451272,"(42.69257515451272, -73.75372995683969)"
Mull House and Cemetery,Albany,07/22/1999,99NR01476,-73.78140327871753,42.50611383169471,"(42.50611383169471, -73.78140327871753)"
Mull House and Cemetery,Albany,07/22/1999,99NR01476,-73.78144411792698,42.50507539135926,"(42.50507539135926, -73.78144411792698)"
Music Hall,Albany,02/18/1971,90NR02828,-73.70173695131338,42.7756684109514,"(42.7756684109514, -73.70173695131338)"
"Myers, Stephen Residence",Albany,11/30/2004,04NR05220,-73.75456224145884,42.66100849596825,"(42.66100849596825, -73.75456224145884)"
Mynderse-Frederick House,Albany,11/10/1982,90NR01632,-73.96455617543587,42.70283472098031,"(42.70283472098031, -73.96455617543587)"
New Scotland Avenue (Troop B) Armory,Albany,01/28/1994,93NR00510,-73.78150134869541,42.65221431855803,"(42.65221431855803, -73.78150134869541)"
New Scotland Presbyterian Church & Cemertery,Albany,08/29/2010,09NR05983,-73.9063466062596,42.6306724001744,"(42.6306724001744, -73.9063466062596)"
Newtonville Post Office,Albany,03/14/1973,90NR02784,-73.75820416253762,42.72196729177503,"(42.72196729177503, -73.75820416253762)"
Newtonville School,Albany,09/22/2000,00NR01646,-73.75534856557312,42.72105557542161,"(42.72105557542161, -73.75534856557312)"
Newtonville United Methodist Church,Albany,05/30/2001,01NR01788,-73.75973877519874,42.72450980340317,"(42.72450980340317, -73.75973877519874)"
New York Executive Mansion,Albany,02/18/1971,90NR01674,-73.76122420779299,42.64657064207287,"(42.64657064207287, -73.76122420779299)"
New York State Barge Canal Historic District,Albany,10/15/2014,14NR06559,-75.30802800983128,43.09975480717651,"(43.09975480717651, -75.30802800983128)"
New York State Capitol,Albany,02/18/1971,90NR01642,-73.7573357386946,42.65257737747908,"(42.65257737747908, -73.7573357386946)"
New York State Court of Appeals Building,Albany,02/18/1971,90NR01624,-73.75390973308423,42.6522602036608,"(42.6522602036608, -73.75390973308423)"
New York State Department of Education Building,Albany,03/18/1971,90NR01643,-73.75761127534842,42.65403411494101,"(42.65403411494101, -73.75761127534842)"
Normanskill Farm,Albany,04/05/2019,16NR00122,-73.79978693629103,42.63711712732893,"(42.63711712732893, -73.79978693629103)"
Norman's Vale (Nott House),Albany,12/11/2009,09NR05994,-73.9053310500511,42.68940409254353,"(42.68940409254353, -73.9053310500511)"
Nut Grove,Albany,07/30/1974,90NR02815,-73.76876043612123,42.63360779864419,"(42.63360779864419, -73.76876043612123)"
Ohio Street Methodist Episcopal Church (St. Ann Maronite Catholic Church),Albany,12/08/2005,04NR05389,-73.70295224433202,42.73104541718661,"(42.73104541718661, -73.70295224433202)"
Old Post Office,Albany,01/20/1972,90NR01644,-73.75035461261808,42.64896409976372,"(42.64896409976372, -73.75035461261808)"
Olmstead Street Historic District,Albany,06/19/1973,90NR00013,-73.70269129991166,42.77503298439305,"(42.77503298439305, -73.70269129991166)"
Onesquethaw Valley Historic District,Albany,01/17/1974,90NR02802,-73.90308258486128,42.55523689385731,"(42.55523689385731, -73.90308258486128)"
Palace Theatre,Albany,10/04/1979,90NR01645,-73.75029498244952,42.65503296668609,"(42.65503296668609, -73.75029498244952)"
"Pangburn, Stephen, House",Albany,11/10/1982,90NR01662,-73.9821766773446,42.744040372726,"(42.744040372726, -73.9821766773446)"
"Parker, Charles, House",Albany,11/10/1982,90NR01663,-73.98852760470656,42.74126586804946,"(42.74126586804946, -73.98852760470656)"
Pastures Historic District,Albany,03/16/1972,90NR02816,-73.75402066693697,42.64386469141088,"(42.64386469141088, -73.75402066693697)"
Patterson Farmhouse,Albany,04/28/1997,95NR00896,-73.84224964939109,42.61042002124599,"(42.61042002124599, -73.84224964939109)"
Peebles (Peobles) Island,Albany,10/02/1973,90NR02593,-73.68689804046113,42.78189172979826,"(42.78189172979826, -73.68689804046113)"
Philip Livingston Junior High School (former),Albany,08/18/2014,14NR06562,-73.75797737296269,42.6685483077074,"(42.6685483077074, -73.75797737296269)"
Potter Hollow District #19 School,Albany,01/04/2012,11NR06210,-74.22679395600758,42.42353252014119,"(42.42353252014119, -74.22679395600758)"
Prospect Hill Cemetery Building (Cobblestone),Albany,11/10/1982,90NR01689,-73.89871690912436,42.69937756530566,"(42.69937756530566, -73.89871690912436)"
"Pruyn, Casparus F., House",Albany,10/03/1985,90NR02785,-73.77776935533971,42.73202052582398,"(42.73202052582398, -73.77776935533971)"
Quackenbush House,Albany,06/19/1972,90NR01646,-73.74835004092618,42.65393001384611,"(42.65393001384611, -73.74835004092618)"
"Quackenbush Pumping Station, Albany Water Works",Albany,06/30/1983,90NR02817,-73.74794422789492,42.65424180789108,"(42.65424180789108, -73.74794422789492)"
Rapp Road Community Historic District,Albany,12/27/2002,02NR05000,-73.85272581211596,42.69588684720097,"(42.69588684720097, -73.85272581211596)"
Reformed Dutch Church of Rensselaer in Watervliet,Albany,10/03/1985,90NR02786,-73.75901219713569,42.74810586869722,"(42.74810586869722, -73.75901219713569)"
"Renshaw, Alfred H., House",Albany,10/03/1985,90NR02788,-73.74998612009529,42.7238322329346,"(42.7238322329346, -73.74998612009529)"
Rensselaer and Saratoga Railroad: Green Island Car Shops,Albany,05/24/1973,90NR02833,-73.69166470527622,42.75143060680261,"(42.75143060680261, -73.69166470527622)"
Rensselaerville Historic District,Albany,09/15/1983,93NR00452,-74.13522520890533,42.51696365113855,"(42.51696365113855, -74.13522520890533)"
Rose Hill,Albany,11/10/1982,90NR01633,-73.90322863116353,42.70275804724534,"(42.70275804724534, -73.90322863116353)"
Rowe Farm,Albany,02/03/2012,11NR06281,-73.82641808577685,42.53792006652305,"(42.53792006652305, -73.82641808577685)"
"Sage, Henry M., Estate",Albany,07/04/1980,90NR02839,-73.7325057975917,42.69410290925809,"(42.69410290925809, -73.7325057975917)"
"Schoolcraft, John, House",Albany,11/10/1982,90NR01664,-73.90950065230757,42.70377525102587,"(42.70377525102587, -73.90950065230757)"
Schoolhouse #6,Albany,11/10/1982,90NR01665,-73.96840508901738,42.70423273501727,"(42.70423273501727, -73.96840508901738)"
Schoonmaker House,Albany,01/11/2002,01NR01877,-73.7951050347095,42.54493971730056,"(42.54493971730056, -73.7951050347095)"
"Schuyler, Philip, Mansion",Albany,12/24/1967,90NR01647,-73.7592884955609,42.64133155752464,"(42.64133155752464, -73.7592884955609)"
Sharp Brothers House,Albany,11/10/1982,90NR01691,-73.98744781176875,42.7347471219723,"(42.7347471219723, -73.98744781176875)"
Sharp Farmhouse,Albany,11/10/1982,90NR01692,-73.98821811083666,42.73644521953614,"(42.73644521953614, -73.98821811083666)"
"Shear, Israel, House",Albany,12/06/1996,96NR01070,-73.8989036904315,42.47239351699044,"(42.47239351699044, -73.8989036904315)"
Silliman Memorial Presbyterian Church,Albany,08/01/1979,90NR02829,-73.70049400276041,42.77463819515702,"(42.77463819515702, -73.70049400276041)"
Simmons Stone House,Albany,10/03/1985,90NR02790,-73.73706080764778,42.78367396863501,"(42.78367396863501, -73.73706080764778)"
"Slingerlands, Albert, House",Albany,02/14/1997,97NR01137,-73.85742214692917,42.62860649794202,"(42.62860649794202, -73.85742214692917)"
Slingerlands Historic District,Albany,02/14/2012,11NR06251,-73.86540269367501,42.62956113309784,"(42.62956113309784, -73.86540269367501)"
South End-Groesbeckville Historic District,Albany,09/13/1984,90NR02819,-73.75998684945601,42.63969851317921,"(42.63969851317921, -73.75998684945601)"
Springwood Manor,Albany,10/04/1979,90NR02791,-73.75854577746713,42.71427752953196,"(42.71427752953196, -73.75854577746713)"
St. Agnes Cemetery,Albany,02/28/2008,07NR05820,-73.72853912116466,42.70217906754299,"(42.70217906754299, -73.72853912116466)"
St. Andrews Episcopal Church,Albany,01/07/2005,04NR05248,-73.78818629393453,42.66478523238064,"(42.66478523238064, -73.78818629393453)"
St. Casimir's Church Complex,Albany,01/16/2018,17NR00081,-73.76383196855377,42.66026788295537,"(42.66026788295537, -73.76383196855377)"
St. Mark's Episcopal Church,Albany,11/07/1978,90NR02834,-73.69101437172293,42.74167492444388,"(42.74167492444388, -73.69101437172293)"
St. Mark's Lutheran Church,Albany,11/10/1982,90NR01634,-73.9689841951518,42.70449064061996,"(42.70449064061996, -73.9689841951518)"
St. Mary's Church,Albany,07/14/1977,90NR01648,-73.75276373161503,42.65185196380243,"(42.65185196380243, -73.75276373161503)"
St. Nicholas' Ukranian Catholic Church,Albany,04/15/2004,03NR05095,-73.70300360999997,42.73442006379212,"(42.73442006379212, -73.70300360999997)"
St. Patrick's Roman Catholic Church Complex,Albany,,90NR01698,-73.80234819216786,42.4733695938159,"(42.4733695938159, -73.80234819216786)"
St. Paul's Evangelical Lutheran Church,Albany,11/02/2016,16NR00057,-74.1406686294212,42.62622291586867,"(42.62622291586867, -74.1406686294212)"
St. Peter's Church,Albany,03/16/1972,90NR02843,-73.75401838970772,42.65099018203296,"(42.65099018203296, -73.75401838970772)"
Strassburg Residence,Albany,,90NR01671,-73.83417076317278,42.67922919151682,"(42.67922919151682, -73.83417076317278)"
"Strong, Jedediah, House",Albany,10/03/1985,90NR02792,-73.82781186326267,42.76668825273798,"(42.76668825273798, -73.82781186326267)"
Ten Broeck Mansion,Albany,08/12/1971,90NR01625,-73.75130602192877,42.65882559598119,"(42.65882559598119, -73.75130602192877)"
"Ten Eyck, Tobias C., House and Cemeteries",Albany,11/25/1994,94NR00750,-73.80574475818972,42.51373274487664,"(42.51373274487664, -73.80574475818972)"
The Dr. Wesley Blaisdell House 'Maplehurst',Albany,07/17/2012,12NR06317,-73.7931721440857,42.47239427235425,"(42.47239427235425, -73.7931721440857)"
Tilley Ladder Company,Albany,05/15/2017,16NR00127,-73.70920280921551,42.70805797006659,"(42.70805797006659, -73.70920280921551)"
Treemont Manor,Albany,10/03/1985,90NR02793,-73.763119594652,42.71470093739635,"(42.71470093739635, -73.763119594652)"
"Trimble, George, House",Albany,10/03/1985,90NR02794,-73.72599089535102,42.71392774065909,"(42.71392774065909, -73.72599089535102)"
United States Post Office-Delmar,Albany,11/17/1988,94NR00700,-73.8320141722803,42.62288102951586,"(42.62288102951586, -73.8320141722803)"
United Traction Company Building,Albany,05/24/1976,90NR01626,-73.74968348665921,42.65215808365914,"(42.65215808365914, -73.74968348665921)"
University Club Of Albany,Albany,05/11/2011,11NR06214,-73.76088130917094,42.65604405880879,"(42.65604405880879, -73.76088130917094)"
USS Slater (Destroyer Escort),Albany,05/07/1998,98NR01329,-73.74970840772181,42.64254783035457,"(42.64254783035457, -73.74970840772181)"
Valley Paper Mill Chimney & Site,Albany,04/21/2004,03NR05175,-73.92278303250409,42.47358728125602,"(42.47358728125602, -73.92278303250409)"
Van Denbergh-Simmons House,Albany,10/03/1985,90NR02795,-73.73456906610257,42.78550789543925,"(42.78550789543925, -73.73456906610257)"
Vanderheyden House,Albany,05/30/2001,01NR01787,-73.86710257209388,42.61067042625685,"(42.61067042625685, -73.86710257209388)"
Vanderpool Farm Complex,Albany,11/10/1982,90NR01635,-74.03540103417356,42.73137361029166,"(42.73137361029166, -74.03540103417356)"
