Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Allegany County Landfill,6006 County Road 48,,Angelica,NY,14709,Allegany,9,5852685400,Allegany County DPW,County,Transfer station - permit,[02T08],Yes,249830,4683221,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);White Goods,Permit,9-0232-00008/00011,04/24/2013,04/23/2023,"6006 County Road
Angelica, NY 14709"
LaForge Transfer Station,3090 County Road 30 (Trapping Brook Road),,Wellsville,NY,14895,Allegany,9,5858089000,Kevin & Virginia LaForge,Private,Transfer station - permit,[02R09],Yes,259868,4667111,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),Permit,9-0270-00109/00002,05/31/2016,05/30/2021,"3090 County Road 30 (Trapping Brook Road
Wellsville, NY 14895
(42.119781, -77.904328)"
Action Environmental Systems Inc Bronx TS,920 East 132 Street,,Bronx,NY,10454,Bronx,2,9732867100,Action Carting Environmental Services LLC,Private,Transfer station - permit,[03T32],Yes,591858,4516975,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Single Stream;Commingled Paper & Containers;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics,None,2-6007-00015/00030,06/30/2017,04/22/2020,"920 East 132 Street
Bronx, NY 10454
(40.79899, -73.9116)"
DSNY South Bronx Household Special Waste Drop-Off Site,Foot of Farragut Street,,Bronx,NY,10474,Bronx,2,2124374657,NYC Dep of Sanitation,Municipal,Transfer station - registration,[03RA2],Yes,595061,4517370,,,Registration,03RA2,,,
Environmental Transload Service LLC,100 Oak Point Avenue,,Bronx,NY,10474,Bronx,2,7183285800,Environmental Transload Service LLC,Private,Transfer station - permit,[03TA1],Yes,593017,4518041,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Permit,2-6007-00882/00001-0,04/25/2014,04/24/2019,"100 Oak Point Avenue
Bronx, NY 10474"
IESI NY Corporation (325 Casanova St),325-327 Casanova Street,,Bronx,NY,10474,Bronx,2,2014433000,IESI NY Corporation,Private,Transfer station - permit,[03T48],Yes,593752,4517915,,MSW (Residential/Institutional & Commercial),None,2-6007-00058/00001,03/13/2017,03/13/2022,"325 327 Casanova Street
Bronx, NY 10474
(40.807227, -73.888411)"
Metropolitan Transfer Station,287 Halleck Street,,Bronx,NY,10474,Bronx,2,7185897733,Vincent Verrilli,Private,Transfer station - permit,[03T36],Yes,594464,4517975,,MSW (Residential/Institutional & Commercial);Compost;Metals (Ferrous & Non-Ferrous),None,2-6007-00007/00004,07/10/2020,08/10/2020,"287 Halleck Street
Bronx, NY 10474
(40.806731, -73.879659)"
Tri-State Transfer Associates Inc (Asbestos),1199 Randall Ave,,Bronx,NY,10474,Bronx,2,7186170771,Jaime Baranoff,Private,Transfer station - permit,[03T34],Yes,593559,4518435,,Asbestos (Friable);Asbestos (Non-Friable);Construction & Demolition Debris,None,2-6007-00006/00006,03/29/2017,03/28/2022,"1199 Randall Ave
Bronx, NY 10474
(40.811468, -73.890845)"
WMNY LLC Harlem River Yard,98 Lincoln Avenue,,Bronx,NY,10454,Bronx,2,,Waste Management of NY; LLC,Private,Transfer station - permit,[03T79],Yes,590307,4517929,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,None,2-6007-00159/00009,07/29/2014,07/30/2019,"98 Lincoln Avenue
Bronx, NY 10454
(40.807642, -73.929614)"
A & T Consultants TS,29 Broad Street,,Binghamton,NY,13904,Broome,7,6077243805,Elbert Adams,Private,Transfer station - permit,[04T07],Yes,426499,4664007,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Permit,7-0302-00129/00001,11/05/2019,11/04/2029,"29 Broad Street
Binghamton, NY 13904
(42.122488, -75.890086)"
Binghamton TS (C),13 - 17 1/2 Broad St,,Binghamton,NY,13901,Broome,7,6077727021,City of Binghamton,Municipal,Transfer station - permit,[04T03],Yes,425854,4662128,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Industrial;Waste Tires;Yard Waste,Permit,7-0302-00175/00001,01/01/2016,12/31/2025,"13 17 1 2 Broad St
Binghamton, NY 13901
(42.128542, -75.890693)"
Sunstream Corporation,6 Spring Forest Avenue,,Binghamton,NY,13905,Broome,7,6077244400,Sunstream Corporation,Private,Transfer station - permit,[04T06],Yes,424134,4662479,4.2 - Utilization of GIS and existing spatial data,Asbestos (Friable & Non-Friable);Asbestos (Non-Friable),Permit,7-0302-00080/00006,04/01/2018,03/31/2028,"6 Spring Forest Avenue
Binghamton, NY 13905
(42.109462, -75.918094)"
Adams Transfer Station,521 Main St,,Chenango Bridge,NY,13745,Broome,7,6076484863,Bert Adams,Private,Transfer station - permit,[04T05],Yes,427343,4668978,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Metals (Ferrous & Non-Ferrous),Permit,7-0324-00053/00003,03/21/2017,12/31/2027,"521 Main St
Chenango Bridge, NY 13745
(42.341297, -75.164505)"
Suburban Septic and Excavating Service Inc,101 Kutalek Rd.,,Kirkwood,NY,13795,Broome,7,6077753693,Suburban Septic,Private,Transfer station - registration,[04R81],Yes,434012,4654605,,Portable Toilet Waste,Registration,04R81,02/10/2006,,"101 Kutalek Rd
Kirkwood, NY 13795
(42.056608, -75.772133)"
L&R Transfer Station ,11075 Galen Hill Road,,Freedom,NY,14065,Cattaraugus,9,7164923936,Ron Previty,Private,Transfer station - permit,[05R13],Yes,223800,4708559,4.2 - Utilization of GIS and existing spatial data,,Permit,9.0442E+14,09/06/2016,09/05/2021,"11075 Galen Hill Road
Freedom, NY 14065
(42.481176, -78.358579)"
Southern Tier Recycling Center,225 Homer Street,,Olean,NY,14760,Cattaraugus,9,8002273558,Casella Waste Management of NY; Inc.,Private,Transfer station - permit,[05T11],Yes,215606,4666771,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Permit,9-0412-00090/00001,01/13/2016,01/12/2026,"225 Homer Street
Olean, NY 14760
(42.101736, -78.439734)"
Chautauqua Landfill,3889 Towerville Road,,Ellery,NY,14701-9653,Chautauqua,9,7169854785,Chautauqua County,County,Transfer station - permit,[07R22],Yes,143329,4681819,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Plastics;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;White Goods,Permit,9-0636-00006/00013,10/07/2015,10/06/2025,"3889 Towerville Road
Ellery, NY 14701-9653
(42.201451, -79.315205)"
South County Transfer Station,2570 South Work Street,,Falconer,NY,14733,Chautauqua,9,7166656894,Chautauqua County DPF,County,Transfer station - permit,[07T19],Yes,154000,4670400,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Magazines;Junk Mail;Newspaper;Commingled Plastics,Permit,9.0638E+14,01/25/2018,01/24/2028,"2570 South Work Street
Falconer, NY 14733
(42.110782, -79.183653)"
North County Transfer Station,3688 Webster Road,,Fredonia,NY,14063,Chautauqua,9,7166794413,Chautauqua County DPF,County,Transfer station - permit,[07T01],Yes,145897,4705692,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Commingled Plastics;Metals (Ferrous & Non-Ferrous);Junk Mail;Magazines;Newspaper,Permit,9.0658E+14,01/25/2018,01/24/2028,"3688 Webster Road
Fredonia, NY 14063
(42.421722, -79.305164)"
Frewsburg Transfer Station,29 Railroad Avenue,,Frewsburg,NY,14738,Chautauqua,9,7165695074,Casella Waste Management of NY Inc,Private,Transfer station - permit,[07T23],Yes,155029,4664219,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Glass;Metals (Ferrous & Non-Ferrous),Permit,9-0624-00057/00001,02/10/2014,02/09/2024,"29 Railroad Avenue
Frewsburg, NY 14738
(42.054485, -79.167629)"
West County Transfer Station,121 Osborne St,,Sherman,NY,14781,Chautauqua,9,7167616565,Chautauqua County DPF,County,Transfer station - permit,[07T18],Yes,120527,4676782,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Commingled Plastics;Metals (Ferrous & Non-Ferrous);Junk Mail;Magazines;Newspaper;White Goods,Permit,9.0666E+14,02/24/2015,02/23/2025,"121 Osborne St
Sherman, NY 14781
(42.154836, -79.594232)"
Westfield Transfer Station,12 Bourne Street,,Westfield,NY,14787,Chautauqua,9,8002273552,Casella Waste Management NY Inc,Private,Transfer station - permit,[07T17],Yes,122409,4696534,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Permit,9-0672-00040/00004,02/11/2016,07/31/2026,"12 Bourne Street
Westfield, NY 14787
(42.329769, -79.583532)"
Big Flats Drop-off Center,3305 Chambers Road South,,Big Flats,NY,14845,Chemung,8,8002273552,Chemung County,County,Transfer station - registration,[08R01],Yes,339005,4667680,,Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Single Stream,Registration,08R01,10/15/1997,,"3305 Chambers Road South
Big Flats, NY 14845"
Lowman Drop-off Center,1488 County Rte 60,,Chemung,NY,14901,Chemung,8,8002273552,Chemung County,County,Transfer station - registration,[08R02],Yes,360811,4655407,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Single Stream,Registration,08R02,10/15/1997,,"1488 County Rte
Chemung, NY 14901"
Chemung County Transfer Station,1690 Lake Street,,Elmira,NY,14901,Chemung,8,6077372980,Chemung County,County,Transfer station - permit,[08T05],Yes,350746,4664333,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);White Goods;Waste Tires,Permit,8-0730-00009/00001,10/28/2017,10/27/2027,"1690 Lake Street
Elmira, NY 14901
(42.118363, -76.808679)"
Erin Van Etten Drop-off,1892 Swartwood Road,,Erin,NY,14838,Chemung,8,8002273552,Chemung County,County,Transfer station - registration,[08R03],Yes,362556,4673140,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Single Stream,Registration,08R03,10/15/1997,,"1892 Swartwood Road
Erin, NY 14838
(42.207519, -76.645978)"
Southport Drop-off Center,93 Institution Road,,Pine City,NY,14871,Chemung,8,8002273552,Chemung County,County,Transfer station - registration,[08R04],Yes,349794,4657318,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,08R04,,,"93 Institution Road
Pine City, NY 14871"
Adams Wells Transfer Station,NYS Route 12,(near 122 Combes Ln),Norwich,NY,13814,Chenango,7,6073363217,Bert Adams,Private,Transfer station - permit,[09T91],Yes,456836,4713873,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream,Permit,7-0840-00018-00001,03/03/2014,03/02/2024,"12 Norwich
NY 13814"
Covanta B3 Transfer Station,25 Flints Crossing Road,,Canaan,NY,12029,Columbia,4,5187815305,Covanta B3 LLC,Private,Transfer station - permit,[11T50],Yes,630797,4689997,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous),Permit,4-1024-00013/00003,03/11/2010,03/11/2020,"25 Flints Crossing Road
Canaan, NY 12029
(42.361372, -73.426213)"
Chatham Convenience,Rt. 295,,Chatham,NY,12037,Columbia,4,5183922222,Columbia County,County,Transfer station - registration,[11R38],Yes,617870,4693263,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Single Stream,Registration,11R38,,,"295 Chatham
NY 12037
(42.615261, -73.699819)"
Copake Convenience Station,County Route 7A,,Copake,NY,12526,Columbia,4,5183292151,Columbia County,County,Transfer station - registration,[11R32],Yes,619158,4666973,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R32,,,"7A Copake
NY 12526"
Gallatin Convenience Station,State Route 82,,Gallatin,NY,12502,Columbia,4,5183294846,Columbia County,County,Transfer station - registration,[11R34],Yes,616198,4652650,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R34,,,"82 Gallatin
NY 12502"
Germantown Convenience Station,Palatine Road,,Germantown,NY,12526,Columbia,4,5185375641,Columbia County,County,Transfer station - registration,[11R36],Yes,591777,4665362,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R36,,,
Greenport TS,51 Newman Road,,Greenport,NY,12534,Columbia,4,5188281442,Columbia County Solid Waste,County,Transfer station - permit,[11T40],Yes,601180,4676735,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);White Goods;Electronics,Permit,4-0140-00007/00005,08/01/2015,07/31/2025,"51 Newman Road
Greenport, NY 12534
(42.238947, -73.769675)"
Carmen Barbato Inc,2778 route 23,,Hillsdale,NY,12529,Columbia,4,5183253331,Carmen Barbato,Private,Transfer station - permit,[11T44],Yes,622700,4670900,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Permit,4-1042-00014/00003,12/10/2002,09/12/2027,"2778 route
Hillsdale, NY 12529"
Hillsdale TS,Holm Road,,Hillsdale,NY,12529,Columbia,4,5183253844,Columbia County,County,Transfer station - registration,[11R42],Yes,624269,4674539,,Oil/Gas Drilling Waste;Single Stream,Registration,11R42,,,
Kinderhook Convenience Station,State Route 9H,,Kinderhook,NY,12106,Columbia,4,5187587562,Columbia County,County,Transfer station - registration,[11R30],Yes,608411,4693198,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R30,,,"9H Kinderhook
NY 12106
(42.424915, -73.737244)"
Livingston TS,Co. Rt. 19,,Livingston,NY,12541,Columbia,4,5185376301,Columbia County,County,Transfer station - registration,[11R46],Yes,600378,4664701,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R46,,,"19 Livingston
NY 12541
(41.928195, -73.910691)"
Andes (T) Transfer Station,3760 County Highway 1,,Andes,NY,13731,Delaware,4,8456764525,Town of Andes,Municipal,Transfer station - registration,[13R20],Yes,517500,4668156,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Registration,13R20,,,"3760 County Highway
Andes, NY 13731"
Bovina TS (T),New Road,,Bovina Center,NY,13740,Delaware,4,6078324245,Town of Bovina,Municipal,Transfer station - registration,[13R22],Yes,521431,4684401,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,13R22,,,
Davenport TS (T),7920 County Route 10,,Davenport Center,NY,13751,Delaware,4,6072785285,Town of Davenport,Municipal,Transfer station - registration,[13R26],Yes,506895,4699369,,MSW (Residential/Institutional & Commercial),Registration,13R26,,,"7920 County Route
Davenport Center, NY 13751"
Colchester (T) TS,13946 State Highway 30,,Downsville,NY,13755,Delaware,4,6073637169,Town of Colchester,Municipal,Transfer station - registration,[13R24],Yes,501455,4657723,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,13R24,07/29/1997,,"13946 State Highway
Downsville, NY 13755"
Hancock TS (T),1488 Green Flats Road,,Hancock,NY,13783,Delaware,4,6076373522,Town of Hancock,Municipal,Transfer station - registration,[13R36],Yes,479518,4643728,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics,Registration,13R36,,,"1488 Green Flats Road
Hancock, NY 13783
(41.947414, -75.245273)"
Harpersfield TS,25399 NYS Route 23,,Harpersfield,NY,13786,Delaware,4,6076525060,Town of Harpersfield,Municipal,Transfer station - registration,[13R39],Yes,526935,4698257,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,13r39,,,"25399 NYS Route
Harpersfield, NY 13786"
Middletown TS (T),Route 30,,Margaretville,NY,12455,Delaware,4,9145864566,Town of Middletown,Municipal,Transfer station - registration,[13R46],Yes,533298,4671705,,MSW (Residential/Institutional & Commercial),Registration,13R46,,,"30 Margaretville
NY 12455
(41.730164, -74.43213)"
Roxbury TS (T),NYS Route 30,,Roxbury,NY,12474,Delaware,4,6073267641,Town of Roxbury,Municipal,Transfer station - registration,[13R48],Yes,536786,4686287,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,13R48,,,"30 Roxbury
NY 12474"
Welsh Sanitation (Town of Amenia),5273â?5275 Route 44,,Amenia,NY,12501,Dutchess,3,,Town of Amenia,Private,Transfer station - registration,[14R21],Yes,619349,4633822,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Single Stream;Electronics,Registration,14R21,11/09/2012,,"5273 5275 Route
Amenia, NY 12501"
Residuals Management Services LLC dba Earthcare,80 Dennings Ave,,Beacon,NY,12508,Dutchess,3,9737646100,Residual Management Services;LLC,Private,Transfer station - permit,[14Z01],Yes,585100,4594200,,Septage;Sewage Treatment Plant Sludge,Permit,3-1302-00028/00003,01/16/2013,01/16/2018,"80 Dennings Ave
Beacon, NY 12508
(41.496206, -73.981699)"
Clinton TS         (T),1215 Centre Road,,Clinton Corners,NY,12514,Dutchess,3,8452665853,Town of Clinton,Municipal,Transfer station - registration,[14R05],Yes,599441,4638889,,Single Stream;MSW (Residential/Institutional & Commercial);Electronics,Registration,14R05,,,"1215 Centre Road
Clinton Corners, NY 12514
(41.883684, -73.803823)"
Watch Hill Holding Corp/Royal Carting Service,409 Rt. 82; PO Box 1209,,Hopewell Junction,NY,12533,Dutchess,3,8458966000,Emil Panichi,,Transfer station - permit,[14T03],Yes,596306,4602468,,Construction & Demolition Debris;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Asbestos (Non-Friable);Metals (Ferrous & Non-Ferrous);Concrete;Waste Tires;Compost;Waste Oil (Other);Electronics,Permit,3-1328-00129/00002,03/26/2013,03/26/2018,"409 Rt
Hopewell Junction, NY 12533"
LaGrange Waste TS  (T),130 Stringham Road,,LaGrangeville,NY,12540,Dutchess,3,9144522289,Town of LaGrange,Municipal,Transfer station - registration,[14R11],Yes,600056,4613407,,Construction & Demolition Debris;Sludge (Industrial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics,Registration,14R11,,,"130 Stringham Road
LaGrangeville, NY 12540
(41.665386, -73.796439)"
Pawling TS (T),124-126 River Road,,Pawling,NY,12564,Dutchess,3,8458559380,Town of Pawling,Municipal,Transfer station - registration,[14R17],Yes,616714,4604765,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous),Registration,14R17,,,"124 126 River Road
Pawling, NY 12564
(41.58436, -73.594471)"
Pleasant Valley Transfer Station,24 Sherow Road,,Pleasant Valley,NY,12569,Dutchess,3,8456351005,Town of Pleasant Valley,Municipal,Transfer station - registration,[14R08],Yes,597230,4623756,,,,,,,"24 Sherow Road
Pleasant Valley, NY 12569
(41.756353, -73.826552)"
Milan Disposal Site TS,20 Wilcox Circle,,Red Hook,NY,12571,Dutchess,3,,Town of Milan,Municipal,Transfer station - registration,[14R10],Yes,603960,4644920,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Single Stream;Electronics,Registration,14R10,,,"20 Wilcox Circle
Red Hook, NY 12571
(41.955132, -73.765087)"
Rhinebeck TS,376 Stone Church Road,,Rhinebeck,NY,12572,Dutchess,3,8457583405,Town of Rhinebeck,Municipal,Transfer station - registration,[14R19],Yes,594632,4646824,,MSW (Residential/Institutional & Commercial);Newspaper;Metals (Ferrous & Non-Ferrous);Commingled Paper & Containers;Electronics,Registration,14R19,,,"376 Stone Church Road
Rhinebeck, NY 12572
(41.968654, -73.856643)"
Wappinger (T) TS,Old Route 9,,Wappingers Falls,NY,12590,Dutchess,3,8452979451,Town of Wappinger,Municipal,Transfer station - registration,[14R06],Yes,591524,4600848,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Newspaper;Wood (Brush/ Branches/ Trees/ Stumps);Waste Tires,Registration,14R06,,,"9 Wappingers Falls
NY 12590"
Kejem Properties (Harlem Valley Transfer Station),3 Commerce Drive,,Wingdale,NY,12594,Dutchess,3,8458323828,Emil Panichi,Private,Transfer station - permit,[14T11],Yes,618932,4612424,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Electronics;Emergency Authorization Waste (Storm Debris);Single Stream,Permit,3-1326-00124/00002,05/28/2009,05/27/2019,"3 Commerce Drive
Wingdale, NY 12594
(41.656339, -73.572886)"
Blasdell Transfer Station,3675 Jeffrey Boulevard,,Blasdell,NY,14219,Erie,9,7168243766,,,Transfer station - permit,[15T23],Yes,186421,4744083,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Wood (Chips),Permit,9-1448-00168/00001,10/04/2012,08/19/2021,"3675 Jeffrey Boulevard
Blasdell, NY 14219
(42.785267, -78.834636)"
East Side Transfer Station,793 South Ogden Street,,Buffalo,NY,14206,Erie,9,7169139798,City of Buffalo,Municipal,Transfer station - permit,[15T04],Yes,189661,4754835,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Waste Tires;Single Stream,Permit,9-1402-00567/00011,12/30/2011,12/29/2021,"793 South Ogden Street
Buffalo, NY 14206
(42.883586, -78.800419)"
WMNY Transfer Station,3327 Walden Avenue,,Depew,NY,14043,Erie,9,7166859636,Waste Management of NY; Inc.,Private,Transfer station - permit,[15T24],Yes,199129,4757720,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Single Stream;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Waste Tires,Permit,9-1452-00067/00005,10/30/2015,10/29/2025,"3327 Walden Avenue
Depew, NY 14043
(42.913402, -78.687424)"
Elma Transfer Station,370 Creek Road,,Elma,NY,14059,Erie,9,7166528084,Town of Elma,Municipal,Transfer station - registration,[15R01],Yes,206756,4746715,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Electronics,Registration,15R01,03/03/1994,,"370 Creek Road
Elma, NY 14059
(42.816133, -78.586314)"
Environmental Products & Services of Vermont; Inc.,4429 Walden Avenue,,Lancaster,NY,14086,Erie,9,7165970001,Environmental Products & Services of Vermont; Inc.,Private,Transfer station - permit,[15T32],Yes,205922,4758893,4.2 - Utilization of GIS and existing spatial data,Non-hazardous Waste,Permit,9-1452-00345/00001,06/19/2015,05/17/2025,"4429 Walden Avenue
Lancaster, NY 14086
(42.926804, -78.603282)"
American Recyclers Transfer Station,177 Wales Avenue,,Tonawanda,NY,14151,Erie,9,7166956720,John Battaglia,Private,Transfer station - permit,[15T18],Yes,185580,4769973,4.2 - Utilization of GIS and existing spatial data,Waste Oil (Automotive);Sludge (Industrial);Metals (Ferrous & Non-Ferrous);Electronics,Permit,9-1416-00057/00001,01/28/2010,12/17/2017,"177 Wales Avenue
Tonawanda, NY 14151
(43.016562, -78.85955)"
Chesterfield Transfer Station,Auger Lake Rd,,Chesterfield,NY,12944,Essex,5,5188349042,Essex County,County,Transfer station - registration,[16R39],Yes,619930,4927123,,MSW (Residential/Institutional & Commercial),Registration,16R39,,,
